Product Group,×´¿ö,Compliance,Family,Type,Substrate,Input Logic,Rated Voltage Min (V),IO @ 25 ¡ãC Min (A),VCE(sat) @ 25 ¡ãC Typ (V),RDS(on) (¦¸),Emitter Configuration,Shutdown Pin,Mounting Type,Package Type,MSL Type,MSL Temp (¡ãC),Pricing ($/Unit)
FAM65V05DF1,Active,Pb A H P ,ASPM27,3-Phase Inverter IGBT,DBC,Active High,650,50,2.25,~NA~,3 Emitter Pins,Yes,DIP,DIP-027,NA,0,Y
FNA22512A,"Active, Not Rec",Pb H ,SPM34,3-Phase Inverter IGBT,DBC,Active High,1200,25,1.9,~NA~,3 Emitter Pins,Yes,DIP,DIP-034,NA,0,N
FNA23512A,"Active, Not Rec",Pb H ,SPM34,3-Phase Inverter IGBT,DBC,Active High,1200,35,1.9,~NA~,3 Emitter Pins,Yes,DIP,DIP-034,NA,0,N
FNA25012A,"Active, Not Rec",Pb H ,SPM34,3-Phase Inverter IGBT,DBC,Active High,1200,50,2.2,~NA~,3 Emitter Pins,Yes,DIP,DIP-034,NA,0,N
FNA25060,Active,Pb H ,SPM34,3-Phase Inverter IGBT,DBC,Active High,600,50,1.5,~NA~,3 Emitter Pins,Yes,DIP,DIP-034,NA,0,N
FNA41560,"Active, Not Rec",Pb H ,SPM45,3-Phase Inverter IGBT,Ceramic,Active High,600,15,1.8,~NA~,3 Emitter Pins,No,DIP,CDIP-026,NA,0,Y
FNA41560B2,"Active, Not Rec",Pb H ,SPM45,3-Phase Inverter IGBT,Ceramic,Active High,600,15,1.8,~NA~,3 Emitter Pins,No,DIP,CDIP-026,NA,0,N
FNA41560T2,Active,Pb H ,SPM45,3-Phase Inverter IGBT,Ceramic,Active High,600,15,1.6,~NA~,3 Emitter Pins,No,DIP,CDIP-026,NA,0,N
FNB33060T,Active,Pb H ,SPM3V,3-Phase Inverter IGBT,DBC,Active High,600,30,1.6,~NA~,3 Emitter Pins,No,DIP,DIP-027,NA,0,N
FNB34060T,Active,Pb H ,SPM3V,3-Phase Inverter IGBT,DBC,Active High,600,40,1.5,~NA~,3 Emitter Pins,No,DIP,DIP-027,NA,0,N
FNB34060T6,Active,Pb H ,SPM3V,3-Phase Inverter IGBT,DBC,Active High,600,40,1.5,~NA~,3 Emitter Pins,No,DIP,"SPMCF-027 / PDD, STD, SPM27-CF, SHORT LEAD (Special) CUSTOMER SPECIFIC OPTION",NA,0,N
FNB35060T,Active,Pb H ,SPM3V,3-Phase Inverter IGBT,DBC,Active High,600,50,1.65,~NA~,3 Emitter Pins,No,DIP,DIP-027,NA,0,N
FNB40560,"Active, Not Rec",Pb H ,SPM45,3-Phase Inverter IGBT,Ceramic,Active High,600,5,1.4,~NA~,3 Emitter Pins,No,DIP,CDIP-026,NA,0,N
FNB41060,Active,Pb H ,SPM45,3-Phase Inverter IGBT,Ceramic,Active High,600,10,1.5,~NA~,3 Emitter Pins,No,DIP,CDIP-026,NA,0,Y
FNB41060B2,"Active, Not Rec",Pb H ,SPM45,3-Phase Inverter IGBT,Ceramic,Active High,600,10,1.5,~NA~,3 Emitter Pins,No,DIP,CDIP-026,NA,0,Y
